"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id_clean","expression_status","gene_symbol","gene_biotype"
"ENSG00000101445.10",1567.13794754856,2.21894698535067,0.414304306074612,5.35583857762527,8.51605141258813e-08,2.14185112160822e-06,"ENSG00000101445","Over-expressed","PPP1R16B","protein_coding"
"ENSG00000198483.13",314.251285278389,2.16078974234597,0.403552370405116,5.35442212909518,8.58302737988428e-08,2.15304804146784e-06,"ENSG00000198483","Over-expressed","ANKRD35","protein_coding"
"ENSG00000185950.9",3939.81198934069,1.94739054533532,0.363806434997837,5.35282050562655,8.65937367654279e-08,2.17010841743689e-06,"ENSG00000185950","Over-expressed","IRS2","protein_coding"
"ENSG00000144339.12",10.1899272738504,3.60855227321728,0.674174274245314,5.35255112968643,8.67227873567826e-08,2.17178903148311e-06,"ENSG00000144339","Over-expressed","TMEFF2","protein_coding"
"ENSG00000228063.2",40.1705543664199,1.62769360181486,0.304134282783708,5.35189123342743,8.70397128021564e-08,2.17816881287396e-06,"ENSG00000228063","Over-expressed","LYPLAL1-AS1","antisense"
"ENSG00000230587.2",94.5028910055058,2.25067562155401,0.420548943497918,5.35175668932609,8.71044671862079e-08,2.17823341032748e-06,"ENSG00000230587","Over-expressed","AC093609.1","lincRNA"
"ENSG00000255021.1",16.8722328882317,5.2411794373644,0.979381223166734,5.35152125994161,8.72178886248453e-08,2.17951407130632e-06,"ENSG00000255021","Over-expressed","RP11-536I6.2","lincRNA"
"ENSG00000258584.2",3.68282444663363,4.69086499604966,0.87713513800794,5.34793875286204,8.89615571846416e-08,2.21982137720694e-06,"ENSG00000258584","Over-expressed","FAM181A-AS1","antisense"
"ENSG00000126351.13",4029.69323548294,1.16051116654799,0.217005913177406,5.34783199939466,8.90140303736292e-08,2.21982137720694e-06,"ENSG00000126351","Over-expressed","THRA","protein_coding"
"ENSG00000136960.13",9027.18358957286,2.77628399203485,0.519143327579285,5.3478179233862,8.90209514764023e-08,2.21982137720694e-06,"ENSG00000136960","Over-expressed","ENPP2","protein_coding"
"ENSG00000157554.19",2049.62394806857,2.09721195862314,0.392280721341766,5.34620195315687,8.98189888128061e-08,2.23812821696775e-06,"ENSG00000157554","Over-expressed","ERG","protein_coding"
"ENSG00000277561.5",9.32731924614129,3.02468958799627,0.565939584662443,5.34454501852943,9.06444465555785e-08,2.25548876780873e-06,"ENSG00000277561","Over-expressed","GOLGA8IP","transcribed_unprocessed_pseudogene"
"ENSG00000265939.1",29.2095980336194,2.28283262694526,0.427272134378428,5.34280717900362,9.15180997702451e-08,2.27399760670251e-06,"ENSG00000265939","Over-expressed","UBE2CP2","processed_pseudogene"
"ENSG00000119121.22",159.635017478886,2.68503616923276,0.502844681030826,5.33969289230318,9.31041622165338e-08,2.31013054054976e-06,"ENSG00000119121","Over-expressed","TRPM6","protein_coding"
"ENSG00000171773.3",3.87183219829192,4.71863246622821,0.884233518860992,5.3364098573264,9.48049705109893e-08,2.34568654085629e-06,"ENSG00000171773","Over-expressed","NXNL1","protein_coding"
"ENSG00000224566.2",14.3981527468625,2.57785378069965,0.483410119690007,5.33264339263881,9.67932806300108e-08,2.38310090433762e-06,"ENSG00000224566","Over-expressed","FAM96AP2","processed_pseudogene"
"ENSG00000132840.10",1227.54332215768,3.31875129077213,0.622974541579278,5.32726631550448,9.97019269589475e-08,2.44611835504673e-06,"ENSG00000132840","Over-expressed","BHMT2","protein_coding"
"ENSG00000213398.8",343.138106599384,1.40240010434035,0.263316842304492,5.32590354671902,1.00452428414159e-07,2.4610844961469e-06,"ENSG00000213398","Over-expressed","LCAT","protein_coding"
"ENSG00000236708.1",6.90331729587952,3.1569488466465,0.592823731365167,5.32527407325043,1.00800934354792e-07,2.4678970895319e-06,"ENSG00000236708","Over-expressed","AC073316.1","antisense"
"ENSG00000261468.1",123.055711744621,2.43870841000677,0.458381914156253,5.32025443127642,1.03622231806914e-07,2.5263777949584e-06,"ENSG00000261468","Over-expressed","RP11-1024P17.1","sense_overlapping"
"ENSG00000286684.1",8.86670021279176,4.08625669138934,0.768359809606396,5.31815516676047,1.04824658095922e-07,2.5521416931137e-06,"ENSG00000286684","Over-expressed",NA,NA
