"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id_clean","expression_status","gene_symbol","gene_biotype"
"ENSG00000160949.17",1296.77029907021,-2.88163766297857,0.443433930682483,-6.49846000404951,8.11463615971357e-11,4.59283162933061e-09,"ENSG00000160949","Down-regulated","TONSL","protein_coding"
"ENSG00000154736.6",5164.62228932721,2.86942319810911,0.441865040820277,6.4938905163946,8.36475473259851e-11,4.72676100091272e-09,"ENSG00000154736","Over-expressed","ADAMTS5","protein_coding"
"ENSG00000163444.12",3260.99587504324,-1.26045674459168,0.194142511058554,-6.49243041989667,8.44625321685745e-11,4.75984354139425e-09,"ENSG00000163444","Down-regulated","TMEM183A","protein_coding"
"ENSG00000081041.9",834.041042394761,3.68640208684269,0.567806591057665,6.49235522253441,8.45047147922713e-11,4.75984354139425e-09,"ENSG00000081041","Over-expressed","CXCL2","protein_coding"
"ENSG00000165478.7",241.676156738956,5.57571360993771,0.85889426653902,6.49173457916477,8.48536576859439e-11,4.7718264799792e-09,"ENSG00000165478","Over-expressed","HEPACAM","protein_coding"
"ENSG00000163535.18",987.032332685808,-1.91403527743498,0.295305581317318,-6.48154115102304,9.0790397504076e-11,5.08934652248848e-09,"ENSG00000163535","Down-regulated","SGO2","protein_coding"
"ENSG00000188610.12",67.2791160709012,-2.93852364799438,0.453405057738705,-6.48101206159864,9.11093873274623e-11,5.0916217513506e-09,"ENSG00000188610","Down-regulated","FAM72B","protein_coding"
"ENSG00000183134.5",38.8838392406584,2.77912641449171,0.428811903278627,6.48099176642009,9.1121645157609e-11,5.0916217513506e-09,"ENSG00000183134","Over-expressed","PTGDR2","protein_coding"
"ENSG00000000005.6",383.292506984212,5.93828346385989,0.916505670673239,6.4792653814109,9.21702662332621e-11,5.14201477306105e-09,"ENSG00000000005","Over-expressed","TNMD","protein_coding"
"ENSG00000188517.16",282.310502109216,3.25772922180304,0.502914023520527,6.47770606792409,9.31275414410338e-11,5.18715964131418e-09,"ENSG00000188517","Over-expressed","COL25A1","protein_coding"
"ENSG00000123352.18",2051.98531744915,-1.02773853364781,0.158742348017188,-6.47425558765537,9.52805030384443e-11,5.27974601528895e-09,"ENSG00000123352","Down-regulated","SPATS2","protein_coding"
"ENSG00000183763.9",356.337789938585,-1.70817347511231,0.26384814357355,-6.47407805102159,9.53925853483061e-11,5.27974601528895e-09,"ENSG00000183763","Down-regulated","TRAIP","protein_coding"
"ENSG00000186994.11",375.791244408558,2.7657358450978,0.427259867542988,6.47319361165961,9.59528724501322e-11,5.30237994683025e-09,"ENSG00000186994","Over-expressed","KANK3","protein_coding"
"ENSG00000134049.6",2413.73132423464,-0.945430126403514,0.146084781061838,-6.47179069257947,9.68482190541395e-11,5.32862919516283e-09,"ENSG00000134049","Not-Significant","IER3IP1","protein_coding"
"ENSG00000172935.9",553.506735615011,2.8907678203132,0.446675889129133,6.47173463056002,9.68841671847788e-11,5.32862919516283e-09,"ENSG00000172935","Over-expressed","MRGPRF","protein_coding"
"ENSG00000151623.15",1364.18238575931,2.59702156913798,0.401415154710191,6.46966498066808,9.82204386541358e-11,5.39365684678315e-09,"ENSG00000151623","Over-expressed","NR3C2","protein_coding"
"ENSG00000141582.15",1768.12397739329,-1.57687754937568,0.243775510104794,-6.46856424871314,9.89384499121524e-11,5.4161071760504e-09,"ENSG00000141582","Down-regulated","CBX4","protein_coding"
